Parcela;Tipo;Vencimento;CUBs;Valor_base_R$_(CUB_mai_2026);Meses_ate_2026-05-28;Fator_0,4%_a.m.;Valor_atualizado_R$
b01;Parcela mensal;15/01/2019;1,6686;5112,76;88;1,420911;7264,77
b02;Parcela mensal;15/02/2019;1,6686;5112,76;87;1,415250;7235,83
b03;Parcela mensal;15/03/2019;1,6686;5112,76;86;1,409611;7207,00
b04;Parcela mensal;15/04/2019;1,6686;5112,76;85;1,403995;7178,29
b05;Parcela mensal;15/05/2019;1,6686;5112,76;84;1,398401;7149,69
b06;Parcela mensal;15/06/2019;1,6686;5112,76;83;1,392830;7121,20
b07;Parcela mensal;15/07/2019;1,6686;5112,76;82;1,387281;7092,83
b08;Parcela mensal;15/08/2019;1,6686;5112,76;81;1,381754;7064,57
b09;Parcela mensal;15/09/2019;1,6686;5112,76;80;1,376249;7036,43
b10;Parcela mensal;15/10/2019;1,6686;5112,76;79;1,370766;7008,39
b11;Parcela mensal;15/11/2019;1,6686;5112,76;78;1,365305;6980,47
b12;Parcela mensal;15/12/2019;1,6686;5112,76;77;1,359865;6952,66
b13;Parcela mensal;15/01/2020;1,6686;5112,76;76;1,354447;6924,96
b14;Parcela mensal;15/02/2020;1,6686;5112,76;75;1,349051;6897,37
b15;Parcela mensal;15/03/2020;1,6686;5112,76;74;1,343677;6869,89
b16;Parcela mensal;15/04/2020;1,6686;5112,76;73;1,338323;6842,52
b17;Parcela mensal;15/05/2020;1,6686;5112,76;72;1,332991;6815,26
b18;Parcela mensal;15/06/2020;1,6686;5112,76;71;1,327681;6788,11
b19;Parcela mensal;15/07/2020;1,6686;5112,76;70;1,322391;6761,06
b20;Parcela mensal;15/08/2020;1,6686;5112,76;69;1,317123;6734,13
b21;Parcela mensal;15/09/2020;1,6686;5112,76;68;1,311875;6707,30
b22;Parcela mensal;15/10/2020;1,6686;5112,76;67;1,306648;6680,58
b23;Parcela mensal;15/11/2020;1,6686;5112,76;66;1,301443;6653,96
b24;Parcela mensal;15/12/2020;1,6686;5112,76;65;1,296258;6627,45
b25;Parcela mensal;15/01/2021;1,6686;5112,76;64;1,291093;6601,05
b26;Parcela mensal;15/02/2021;1,6686;5112,76;63;1,285949;6574,75
b27;Parcela mensal;15/03/2021;1,6686;5112,76;62;1,280826;6548,55
b28;Parcela mensal;15/04/2021;1,6686;5112,76;61;1,275723;6522,46
b29;Parcela mensal;15/05/2021;1,6686;5112,76;60;1,270641;6496,48
b30;Parcela mensal;15/06/2021;1,6686;5112,76;59;1,265578;6470,60
b31;Parcela mensal;15/07/2021;1,6686;5112,76;58;1,260536;6444,82
b32;Parcela mensal;15/08/2021;1,6686;5112,76;57;1,255514;6419,14
b33;Parcela mensal;15/09/2021;1,6686;5112,76;56;1,250512;6393,57
b34;Parcela mensal;15/10/2021;1,6686;5112,76;55;1,245530;6368,09
b35;Parcela mensal;15/11/2021;1,6686;5112,76;54;1,240568;6342,72
b36;Parcela mensal;15/12/2021;1,6686;5112,76;53;1,235625;6317,45
b37;Parcela mensal;15/01/2022;1,6686;5112,76;52;1,230702;6292,28
b38;Parcela mensal;15/02/2022;1,6686;5112,76;51;1,225799;6267,21
b39;Parcela mensal;15/03/2022;1,6686;5112,76;50;1,220916;6242,25
b40;Parcela mensal;15/04/2022;1,6686;5112,76;49;1,216051;6217,38
b41;Parcela mensal;15/05/2022;1,6686;5112,76;48;1,211207;6192,61
b42;Parcela mensal;15/06/2022;1,6686;5112,76;47;1,206381;6167,93
b43;Parcela mensal;15/07/2022;1,6686;5112,76;46;1,201575;6143,36
b44;Parcela mensal;15/08/2022;1,6686;5112,76;45;1,196788;6118,88
b45;Parcela mensal;15/09/2022;1,6686;5112,76;44;1,192020;6094,51
b46;Parcela mensal;15/10/2022;1,6686;5112,76;43;1,187270;6070,23
b47;Parcela mensal;15/11/2022;1,6686;5112,76;42;1,182540;6046,04
b48;Parcela mensal;15/12/2022;1,6686;5112,76;41;1,177829;6021,95
b49;Parcela mensal;15/01/2023;1,6686;5112,76;40;1,173136;5997,96
b50;Parcela mensal;15/02/2023;1,6686;5112,76;39;1,168463;5974,07
b51;Parcela mensal;15/03/2023;1,6686;5112,76;38;1,163807;5950,26
b52;Parcela mensal;15/04/2023;1,6686;5112,76;37;1,159171;5926,56
b53;Parcela mensal;15/05/2023;1,6686;5112,76;36;1,154552;5902,95
b54;Parcela mensal;15/06/2023;1,6686;5112,76;35;1,149953;5879,43
b55;Parcela mensal;15/07/2023;1,6686;5112,76;34;1,145371;5856,00
b56;Parcela mensal;15/08/2023;1,6686;5112,76;33;1,140808;5832,67
b57;Parcela mensal;15/09/2023;1,6686;5112,76;32;1,136263;5809,44
b58;Parcela mensal;15/10/2023;1,6686;5112,76;31;1,131736;5786,29
b59;Parcela mensal;15/11/2023;1,6686;5112,76;30;1,127227;5763,24
b60;Parcela mensal;15/12/2023;1,6686;5112,76;29;1,122736;5740,28
b61;Parcela mensal;15/01/2024;1,6686;5112,76;28;1,118263;5717,41
b62;Parcela mensal;15/02/2024;1,6686;5112,76;27;1,113808;5694,63
b63;Parcela mensal;15/03/2024;1,6686;5112,76;26;1,109370;5671,94
b64;Parcela mensal;15/04/2024;1,6686;5112,76;25;1,104950;5649,34
b65;Parcela mensal;15/05/2024;1,6686;5112,76;24;1,100548;5626,84
b66;Parcela mensal;15/06/2024;1,6686;5112,76;23;1,096164;5604,42
b67;Parcela mensal;15/07/2024;1,6686;5112,76;22;1,091796;5582,09
b68;Parcela mensal;15/08/2024;1,6686;5112,76;21;1,087447;5559,85
b69;Parcela mensal;15/09/2024;1,6686;5112,76;20;1,083114;5537,70
b70;Parcela mensal;15/10/2024;1,6686;5112,76;19;1,078799;5515,64
b71;Parcela mensal;15/11/2024;1,6686;5112,76;18;1,074501;5493,66
b72;Parcela mensal;15/12/2024;1,6686;5112,76;17;1,070220;5471,78
c;Reforco;20/12/2019;6,6743;20450,72;77;1,359865;27810,23
